feature,target_corr,suspicious
name_has_xl,0.06977822761944806,False
name_has_xs,-0.05985108115036491,False
ordinal_x_spread,0.05412261277085982,False
ret_sketch_13,-0.0531254514884246,False
mid_z_21,-0.05218859716063196,False
trade_count_377,0.05140020714514956,False
mid_z_34,-0.04921240767535928,False
trade_count_89,0.04889728430340484,False
category_ordinal,0.04764004091358388,False
category_ordinal_centered,0.04764004091358386,False
name_has_garlic,0.0461811517196773,False
ret_sketch_21,-0.04593604634624869,False
mid_z_55,-0.04500492388570319,False
ema_cross_3_21,-0.04426816464889608,False
ret_lag_13,-0.04420268965654034,False
ret_lag_8,-0.04275201970752995,False
mid_z_13,-0.04239849940176315,False
mid_z_89,-0.03954508183638998,False
ret_lag_5,-0.038944522116132155,False
mid_z_377,-0.037404406193237386,False
mid_z_233,-0.037404406193237386,False
mid_z_144,-0.037400475595620805,False
ret_sketch_34,-0.03738301852834796,False
ema_cross_5_34,-0.03595438315079392,False
liquidity_void,-0.033471474601021615,False
mid_z_8,-0.033103147951625014,False
vol_sum_8,0.03256138375748499,False
mid_std_34,0.03228966265386334,False
ret_lag_3,-0.03210609363756784,False
vol_sum_13,0.03208964144733919,False
day,-0.03154962452478112,False
vol_sum_5,0.03072478531268844,False
ret_lag_34,-0.030708516175832517,False
ret_lag_21,-0.030616772575911572,False
trade_count_21,0.03030722186207457,False
profit_and_loss,0.02982136673400774,False
mid_z_5,-0.029197542174301212,False
day_x_timestamp,-0.029193076724348604,False
ret_lag_2,-0.029059171324516603,False
vol_sum_21,0.02895771865085999,False
vol_sum_3,0.028598509413929697,False
mid_std_5,0.02835003405888024,False
imb_mean_5,-0.027472433418173254,False
imb_mean_13,-0.027268933076546112,False
bid_volume_1,0.026798888796369894,False
mid_std_3,0.026334516874780542,False
timestamp,-0.026235277939619436,False
imb_mean_21,-0.026100553432960957,False
total_ask_volume,0.025659078027784332,False
bid_volume_2,0.02552243272061697,False
total_bid_volume,0.025105666594276956,False
name_has_vacuuming,-0.02478373683065649,False
ask_volume_1,0.02474653191416388,False
imb_mean_8,-0.024148940890678733,False
regime_id,0.024110160264893918,False
bid_notional_1,0.02360704466022568,False
bid_notional_2,0.023284583410622523,False
ema_cross_8_55,-0.02326406655765775,False
name_has_triangle,-0.022880392274539613,False
trade_signed_flow_5,0.022414302686485598,False
ret_lag_1,-0.021886171270895077,False
imb_ema_cross_21_144,0.02182335261115896,False
ask_volume_2,0.021784653706992712,False
vol_sum_144,0.021772368632549742,False
vol_sum_377,0.021737010278278686,False
vol_sum_233,0.021737010278278686,False
mid_lag_8,0.021581905692900027,False
mid_lag_13,0.021414051833165096,False
ask_notional_1,0.021401161625317543,False
regime_vol_bucket,0.02132665453393448,False
trade_signed_flow_21,0.02091276056129803,False
name_has_black,0.020644881276539306,False
mid_std_8,0.020595420177407876,False
vol_sum_34,0.020522715382975964,False
mid_z_3,-0.020461305336562347,False
mid_lag_5,0.02027905614844741,False
mid_std_21,0.02026761057575263,False
imb_mean_34,-0.020161221597472096,False
imb_mean_3,-0.01986154236906057,False
ask_notional_2,0.01975143311991863,False
imb_ema_cross_13_89,0.018977061099823757,False
depth_slope_bid,-0.018572362887081254,False
cat_spread_mean,0.01851043941119858,False
bid_price_3,-0.018119896822861657,False
level_spread_1,0.018114069852350128,False
spread,0.018114069852350128,False
pressure_x_micro,0.017979513939655703,False
name_hash_997,-0.017770100912399646,False
bid_notional_3,-0.017518260117437044,False
shadow_pressure_PEBBLES_L,-0.01749010489559842,False
cat_micro_minus_mid_rank,0.017442606647960494,False
mid_std_144,0.017205720334601802,False
mid_std_377,0.017205707348825806,False
mid_std_233,0.017205707348825806,False
vol_sum_89,0.0171507420487676,False
pressure_x_z21,0.016924025368751542,False
tod_cos_503,-0.01690354442420643,False
cs_spread_demean,0.016775930188987917,False
name_length,0.016398227382130294,False
bid_volume_3,-0.016298472996598385,False
vol_sum_55,0.01617357663180801,False
name_has_magenta,0.0158942847334168,False
shadow_pressure_ROBOT_VACUUMING,-0.01565990814951979,False
regime_spread_bucket,0.015503410762043037,False
shadow_pressure_SNACKPACK_PISTACHIO,-0.01525911006204591,False
name_has_4x4,-0.015243154211098243,False
category_id,-0.01520592412163868,False
tod_sin_503,-0.014752011730813423,False
mid_std_89,0.014713971716976741,False
imb_lag_3,-0.0147108640480519,False
imb_ema_cross_8_55,0.01462318855192615,False
mid_lag_3,0.014461802593777181,False
mid_std_55,0.014433324777249092,False
regime_pressure_sign,-0.014328853078241008,False
name_has_wool,0.014283264570375345,False
product_day_time_hash,-0.014025729705447324,False
imb_std_5,-0.01378929310163063,False
imb_lag_2,-0.013398047797337833,False
shadow_pressure_MICROCHIP_TRIANGLE,-0.013300022026611132,False
shadow_pressure_TRANSLATOR_SPACE_GRAY,-0.01323335562719352,False
name_has_solar,0.013226923640167509,False
imb_std_3,-0.013037945668730816,False
imb_lag_1,-0.013023886233028942,False
micro_mean_5,0.012953924378289308,False
mid_mean_34,0.012537711784595276,False
level_spread_2,0.012506783837925336,False
bid_price_2,0.012376139888605697,False
name_has_void,0.012343269596854192,False
cs_micro_minus_mid_rank,0.012337251103373843,False
mid_mean_55,0.01222655949772845,False
shadow_pressure_PEBBLES_M,-0.01221694015829171,False
shadow_pressure_SNACKPACK_VANILLA,-0.012110772752241674,False
ret_sketch_8,0.012039840810910632,False
ret_lag_89,0.012002189355685535,False
cs_spread_rank,0.011816109160353734,False
name_has_cotton,0.011525608911586712,False
mid_mean_21,0.011299697302677445,False
cs_spread_mean,0.011160212877076732,False
mid_mean_89,0.010859034808726917,False
mid_mean_377,0.010739552933372127,False
mid_mean_233,0.010739552933372127,False
mid_mean_144,0.010738413888774844,False
level_imbalance_2,0.010685938575683281,False
shadow_pressure_PANEL_4X4,-0.010655508818396647,False
mid_lag_2,0.010438814329328576,False
micro_lag_3,0.010250890716706798,False
spread_x_imb,-0.010203092209214662,False
shadow_pressure_PANEL_2X4,-0.010187321531594034,False
queue_pressure,-0.010139840624889512,False
limit_scaled_pressure,-0.01013984062488947,False
cat_queue_pressure_mean,-0.010123915873667526,False
imb_ema_cross_5_34,0.0099983000150709,False
mid_mean_13,0.009913158223576931,False
mid_lag_89,-0.009751687112792777,False
ret_sketch_5,0.009619967532172358,False
ema_cross_13_89,-0.009595548895205721,False
shadow_pressure_UV_VISOR_RED,-0.009494652483360481,False
shadow_pressure_ROBOT_LAUNDRY,0.009396309424158736,False
shadow_pressure_GALAXY_SOUNDS_PLANETARY_RINGS,0.009314862961939278,False
cs_queue_pressure_mean,-0.009298654524507548,False
shadow_pressure_OXYGEN_SHAKE_MORNING_BREATH,0.009291808027761743,False
cat_book_imbalance_rank,0.008807376505472404,False
cat_queue_pressure_rank,0.008807376505472404,False
imb_std_8,-0.008771754269723585,False
imb_std_21,-0.008732719622396079,False
cs_book_imbalance_mean,-0.008666647494213042,False
shadow_pressure_UV_VISOR_ORANGE,0.008592764535270022,False
