timestamp;buyer;seller;symbol;currency;price;quantity;day;round
1000;;;GALAXY_SOUNDS_BLACK_HOLES;XIRECS;11438.0;2;3;4
1000;;;GALAXY_SOUNDS_DARK_MATTER;XIRECS;10398.0;2;3;4
1000;;;GALAXY_SOUNDS_PLANETARY_RINGS;XIRECS;11327.0;2;3;4
1000;;;GALAXY_SOUNDS_SOLAR_FLAMES;XIRECS;11342.0;2;3;4
1000;;;GALAXY_SOUNDS_SOLAR_WINDS;XIRECS;9585.0;2;3;4
1000;;;OXYGEN_SHAKE_CHOCOLATE;XIRECS;9495.0;2;3;4
1000;;;OXYGEN_SHAKE_EVENING_BREATH;XIRECS;8476.0;2;3;4
1000;;;OXYGEN_SHAKE_GARLIC;XIRECS;11842.0;2;3;4
1000;;;OXYGEN_SHAKE_MINT;XIRECS;10138.0;2;3;4
1000;;;OXYGEN_SHAKE_MORNING_BREATH;XIRECS;11042.0;2;3;4
1000;;;PANEL_1X2;XIRECS;8447.0;2;3;4
1000;;;PANEL_1X4;XIRECS;11092.0;2;3;4
1000;;;PANEL_2X2;XIRECS;10086.0;2;3;4
1000;;;PANEL_2X4;XIRECS;10714.0;2;3;4
1000;;;PANEL_4X4;XIRECS;9686.0;2;3;4
1000;;;ROBOT_DISHES;XIRECS;9932.0;2;3;4
1000;;;ROBOT_IRONING;XIRECS;9514.0;2;3;4
1000;;;ROBOT_LAUNDRY;XIRECS;10208.0;2;3;4
1000;;;ROBOT_MOPPING;XIRECS;9885.0;2;3;4
1000;;;ROBOT_VACUUMING;XIRECS;10062.0;2;3;4
1000;;;SLEEP_POD_COTTON;XIRECS;11151.0;2;3;4
1000;;;SLEEP_POD_LAMB_WOOL;XIRECS;10424.0;2;3;4
1000;;;SLEEP_POD_NYLON;XIRECS;8849.0;2;3;4
1000;;;SLEEP_POD_POLYESTER;XIRECS;11755.0;2;3;4
1000;;;SLEEP_POD_SUEDE;XIRECS;11125.0;2;3;4
1000;;;SNACKPACK_CHOCOLATE;XIRECS;9943.0;2;3;4
1000;;;SNACKPACK_PISTACHIO;XIRECS;9496.0;2;3;4
1000;;;SNACKPACK_RASPBERRY;XIRECS;10273.0;2;3;4
1000;;;SNACKPACK_STRAWBERRY;XIRECS;10426.0;2;3;4
1000;;;SNACKPACK_VANILLA;XIRECS;10046.0;2;3;4
1000;;;TRANSLATOR_ASTRO_BLACK;XIRECS;10164.0;2;3;4
1000;;;TRANSLATOR_ECLIPSE_CHARCOAL;XIRECS;10205.0;2;3;4
1000;;;TRANSLATOR_GRAPHITE_MIST;XIRECS;9359.0;2;3;4
1000;;;TRANSLATOR_SPACE_GRAY;XIRECS;9476.0;2;3;4
1000;;;TRANSLATOR_VOID_BLUE;XIRECS;11079.0;2;3;4
1000;;;UV_VISOR_AMBER;XIRECS;8526.0;2;3;4
1000;;;UV_VISOR_MAGENTA;XIRECS;11356.0;2;3;4
1000;;;UV_VISOR_ORANGE;XIRECS;10190.0;2;3;4
1000;;;UV_VISOR_RED;XIRECS;10832.0;2;3;4
1000;;;UV_VISOR_YELLOW;XIRECS;11568.0;2;3;4
1700;;;MICROCHIP_CIRCLE;XIRECS;8903.0;2;3;4
1700;;;MICROCHIP_OVAL;XIRECS;9311.0;2;3;4
1700;;;MICROCHIP_RECTANGLE;XIRECS;9276.0;2;3;4
1700;;;MICROCHIP_SQUARE;XIRECS;12360.0;2;3;4
1700;;;MICROCHIP_TRIANGLE;XIRECS;10677.0;2;3;4
2500;;;GALAXY_SOUNDS_BLACK_HOLES;XIRECS;11452.0;2;3;4
2500;;;GALAXY_SOUNDS_DARK_MATTER;XIRECS;10393.0;2;3;4
2500;;;GALAXY_SOUNDS_PLANETARY_RINGS;XIRECS;11339.0;2;3;4
2500;;;GALAXY_SOUNDS_SOLAR_FLAMES;XIRECS;11288.0;2;3;4
2500;;;GALAXY_SOUNDS_SOLAR_WINDS;XIRECS;9635.0;2;3;4
2500;;;OXYGEN_SHAKE_CHOCOLATE;XIRECS;9501.0;2;3;4
2500;;;OXYGEN_SHAKE_EVENING_BREATH;XIRECS;8444.0;2;3;4
2500;;;OXYGEN_SHAKE_GARLIC;XIRECS;11919.0;2;3;4
2500;;;OXYGEN_SHAKE_MINT;XIRECS;10118.0;2;3;4
2500;;;OXYGEN_SHAKE_MORNING_BREATH;XIRECS;10963.0;2;3;4
2500;;;PANEL_1X2;XIRECS;8397.0;2;3;4
2500;;;PANEL_1X4;XIRECS;11058.0;2;3;4
2500;;;PANEL_2X2;XIRECS;10084.0;2;3;4
