product,strike,spot_assumption,tte_days,median_iv,mean_iv,fair_from_median_iv,fair_from_mean_iv,intrinsic
VEV_4000,4000.0,5250.0,5.0,0.0,0.004133514788499946,1250.0,1250.0,1250.0
VEV_4500,4500.0,5250.0,5.0,0.0,0.006923286464741662,750.0,750.0,750.0
VEV_5000,5000.0,5250.0,5.0,0.012221006849238589,0.012185582889706748,252.07309925744357,252.0403651552706,250.0
VEV_5100,5100.0,5250.0,5.0,0.011878755269483083,0.012078713691119902,159.5935024255523,160.10734146060713,150.0
VEV_5200,5200.0,5250.0,5.0,0.012182515032328166,0.012213175991959714,85.24892894560435,85.38329579387755,50.0
VEV_5300,5300.0,5250.0,5.0,0.012368704863238506,0.012344772604234734,36.58541654478972,36.47924705104265,0.0
VEV_5400,5400.0,5250.0,5.0,0.011614575770233712,0.011573868115413841,9.778750807306324,9.67161854478752,0.0
VEV_5500,5500.0,5250.0,5.0,0.012551761507087988,0.01255357950556333,3.056756940799403,3.0589635858507336,0.0
VEV_6000,6000.0,5250.0,5.0,0.019813542527067865,0.0198702538142309,0.09042929462602078,0.09349274204896485,0.0
VEV_6500,6500.0,5250.0,5.0,0.029998525337659288,0.030109964986514772,0.07700056739759553,0.08072093825858762,0.0
