product,strike,spot_assumption,tte_days,median_iv,mean_iv,fair_from_median_iv,fair_from_mean_iv,intrinsic
VEV_4000,4000.0,5250.0,6.0,0.0,0.004133514788499946,1250.0,1250.0,1250.0
VEV_4500,4500.0,5250.0,6.0,0.0,0.006923286464741662,750.0,750.0,750.0
VEV_5000,5000.0,5250.0,6.0,0.012221006849238589,0.012185582889706748,253.32091977146047,253.2741155077856,250.0
VEV_5100,5100.0,5250.0,6.0,0.011878755269483083,0.012078713691119902,162.63320946007752,163.25378960490798,150.0
VEV_5200,5200.0,5250.0,6.0,0.012182515032328166,0.012213175991959714,90.37120050469775,90.51990688839578,50.0
VEV_5300,5300.0,5250.0,6.0,0.012368704863238506,0.012344772604234734,41.84999100689083,41.73254418391912,0.0
VEV_5400,5400.0,5250.0,6.0,0.011614575770233712,0.011573868115413841,12.857186127800446,12.727696381856504,0.0
VEV_5500,5500.0,5250.0,6.0,0.012551761507087988,0.01255357950556333,4.698966074928649,4.702005048599631,0.0
VEV_6000,6000.0,5250.0,6.0,0.019813542527067865,0.0198702538142309,0.24378445078436428,0.2509227556002358,0.0
VEV_6500,6500.0,5250.0,6.0,0.029998525337659288,0.030109964986514772,0.2272158460410747,0.23667054235480833,0.0
