product,day,rows,strike,mean_spot,mean_mid,mean_intrinsic,mean_time_value,mean_iv,median_iv,p10_iv,p90_iv
VEV_4000,0,10000,4000,5246.51025,1246.5241,1246.51025,0.01385,0.003760343855072599,0.0,0.0,0.0
VEV_4000,1,10000,4000,5248.3919,1248.40795,1248.3919,0.01605,0.004144197880338789,0.0,0.0,0.036956387080481615
VEV_4000,2,10000,4000,5255.39215,1255.39735,1255.39215,0.0052,0.00449600263008845,0.0,0.0,0.04019906137845068
VEV_4500,0,10000,4500,5246.51025,746.5216,746.51025,0.01135,0.006580126004122936,0.0,0.0,0.021460126540977502
VEV_4500,1,10000,4500,5248.3919,748.40525,748.3919,0.01335,0.007120196448284737,0.0,0.0,0.023041010425751275
VEV_4500,2,10000,4500,5255.39215,755.40185,755.39215,0.0097,0.00706953694181731,0.0,0.0,0.0250475547438083
VEV_5000,0,10000,5000,5246.51025,253.2595,246.51025,6.74925,0.012240880282786379,0.01223779179822379,0.011932378133667227,0.012563454126343434
VEV_5000,1,10000,5000,5248.3919,253.263,248.3919,4.8711,0.012150725098448978,0.012087207420104489,0.011595611636726483,0.012840078358564806
VEV_5000,2,10000,5000,5255.39215,258.5447,255.39215,3.15255,0.012165143287884886,0.012221006849238589,0.01162678393194539,0.01270242316748326
VEV_5100,0,10000,5100,5246.51025,168.1077,146.51025,21.59745,0.01238397352297139,0.01238544940016768,0.012135982260517049,0.01263104569893899
VEV_5100,1,10000,5100,5248.3919,164.9832,148.3919,16.5913,0.012000040736436934,0.011878755269483083,0.011540432487334693,0.012576688140278677
VEV_5100,2,10000,5100,5255.39215,167.32545,155.39215,11.9333,0.011852126813951383,0.011721426779459771,0.0115015192161637,0.012377507777076108
VEV_5200,0,10000,5200,5246.51025,97.4709,46.51025,50.96065,0.012152650981923618,0.012182515032328166,0.011911681514153217,0.012335983962458151
VEV_5200,1,10000,5200,5248.3919,95.12845,48.39275,46.7357,0.01232470240850827,0.012366015328038927,0.011865628248381922,0.012718685058619828
VEV_5200,2,10000,5200,5255.39215,94.04695,55.39215,38.6548,0.012162174585447251,0.012067855105802088,0.011696692265247416,0.012760413196793885
VEV_5300,0,10000,5300,5246.51025,48.8925,0.0,48.8925,0.012154847172709024,0.012150628357035353,0.0119247331712546,0.012383861579182379
VEV_5300,1,10000,5300,5248.3919,46.9092,0.0,46.9092,0.012476678234800908,0.012497008070689415,0.012227274811194542,0.012672483754954084
VEV_5300,2,10000,5300,5255.39215,44.4781,0.0,44.4781,0.01240279240519427,0.012368704863238506,0.011970819384953129,0.012900789039999232
VEV_5400,0,10000,5400,5246.51025,18.46725,0.0,18.46725,0.01162528236177206,0.011468521921706578,0.011146232568154904,0.012436784478158328
VEV_5400,1,10000,5400,5248.3919,15.6542,0.0,15.6542,0.011570850269447706,0.011635714032751293,0.01108625881198946,0.011996889117025695
VEV_5400,2,10000,5400,5255.39215,13.7343,0.0,13.7343,0.011525471715021763,0.011614575770233712,0.011121915453358715,0.011834795942903095
VEV_5500,0,10000,5500,5246.51025,8.05895,0.0,8.05895,0.012481457340866638,0.012470893173315747,0.012305238336676554,0.012675671800102283
VEV_5500,1,10000,5500,5248.3919,6.57085,0.0,6.57085,0.01258378101388862,0.012551761507087988,0.012088433981147981,0.01309257594779472
VEV_5500,2,10000,5500,5255.39215,5.29425,0.0,5.29425,0.012595500161934732,0.01269037295768698,0.011978353038577746,0.013047965709282707
VEV_6000,0,10000,6000,5246.51025,0.5,0.0,0.5,0.018581135906425034,0.018628534584982377,0.018108264167393064,0.01898379806289255
VEV_6000,1,10000,6000,5248.3919,0.5,0.0,0.5,0.01981649664999555,0.019813542527067865,0.019358548681022505,0.020269199415854554
VEV_6000,2,10000,6000,5255.39215,0.5,0.0,0.5,0.021213128886272112,0.02115525986349897,0.020664154881753834,0.021811158744366642
VEV_6500,0,10000,6500,5246.51025,0.5,0.0,0.5,0.028106555860487152,0.028151973989226795,0.02765249282685229,0.02849336839322087
VEV_6500,1,10000,6500,5248.3919,0.5,0.0,0.5,0.03000149674771096,0.029998525337659288,0.0295617582995158,0.03043633816466844
VEV_6500,2,10000,6500,5255.39215,0.5,0.0,0.5,0.0322218423513462,0.032166089425971836,0.03169488523253955,0.032796108064572324
