symbol,timestamp,days_present,days_list,event_count,qty_mean,qty_std,qty_same_across_days,price_vs_mid_mean,price_vs_mid_std,price_sign_consistent,event_rows,mean_confidence,std_confidence,dominant_archetype,dominant_archetype_share,mean_side,abs_side_mean,mean_log_quantity,mean_abs_price_vs_spread,mean_signed_price_vs_spread,mean_spread_over_mid,mean_book_imbalance,mean_levels,mean_time_frac,time_bucket,confidence_bucket,side_regime,score_repeat,score_qty,score_sign,score_conf,score_archetype,score_trigger,candidate_score,hpc_priority,suggested_window
INTARIAN_PEPPER_ROOT,35700,3,"-1,0,1",6,10.0,0.0,1,0.0,0.0,1,6.0,0.9998010936415991,0.00019839181394406877,1.0,1.0,0.0,1.0,1.7328679513998633,0.5,0.5,0.0003589026240032,-0.5797101449275363,4.333333333333333,0.0357,early,high,mixed,1.0,1.0,1,0.9998010936415991,1.0,1.0,0.9999641968554878,high,800
ASH_COATED_OSMIUM,15100,3,"-1,0,1",6,10.0,0.0,1,9.0,0.7071067811865476,1,6.0,0.9563886285974585,0.050885863602352484,1.0,1.0,1.0,1.0,1.6479184330021646,0.5,0.5,0.0017995767797997332,0.0,2.6666666666666665,0.0151,early,high,buy,1.0,1.0,1,0.9563886285974585,1.0,1.0,0.9921499531475425,high,800
INTARIAN_PEPPER_ROOT,775500,3,"-1,0,1",3,7.0,0.0,1,-1.6666666666666667,0.2357022603955158,1,3.0,0.999999868348841,5.344345437373727e-11,1.0,1.0,-1.0,1.0,2.0794415416798357,0.5,0.5,0.00025988180680523335,-0.0666666666666666,5.0,0.7755,late,high,sell,1.0,1.0,1,0.999999868348841,1.0,0.4,0.9519999763027914,high,800
ASH_COATED_OSMIUM,923800,3,"-1,0,1",3,4.0,0.0,1,-3.3333333333333335,0.2357022603955158,1,3.0,0.999999476739062,4.3786672773870097e-10,1.0,1.0,-1.0,1.0,1.6094379124341005,0.5,0.5,0.0006661305744717666,-0.3684210526315789,5.0,0.9238,late,high,sell,1.0,1.0,1,0.999999476739062,1.0,0.4,0.9519999058130312,high,800
INTARIAN_PEPPER_ROOT,561300,3,"-1,0,1",3,3.0,0.0,1,1.1666666666666667,0.2357022603955158,1,3.0,0.9999993269721945,1.145926073953049e-06,1.0,1.0,1.0,1.0,1.3862943611198906,0.5,0.5,0.00018455634863253332,0.5714285714285714,4.666666666666667,0.5613,mid,high,buy,1.0,1.0,1,0.9999993269721945,1.0,0.4,0.951999878854995,high,800
INTARIAN_PEPPER_ROOT,376700,3,"-1,0,1",3,7.0,0.0,1,1.5,0.7071067811865476,1,3.0,0.9999993075759978,1.0939922854015013e-06,1.0,1.0,1.0,1.0,2.0794415416798357,0.5,0.5,0.0002432226867963,0.2611111111111111,4.666666666666667,0.3767,mid,high,buy,1.0,1.0,1,0.9999993075759978,1.0,0.4,0.9519998753636796,high,800
INTARIAN_PEPPER_ROOT,466000,3,"-1,0,1",3,3.0,0.0,1,1.1666666666666667,0.2357022603955158,1,3.0,0.9999992235202807,1.322075587017463e-06,1.0,1.0,1.0,1.0,1.3862943611198906,0.5,0.5,0.00018795135225143332,0.5384615384615384,4.666666666666667,0.466,mid,high,buy,1.0,1.0,1,0.9999992235202807,1.0,0.4,0.9519998602336506,high,800
INTARIAN_PEPPER_ROOT,344000,3,"-1,0,1",3,3.0,0.0,1,1.1666666666666667,0.2357022603955158,1,3.0,0.999999083084837,1.5611501633826583e-06,1.0,1.0,1.0,1.0,1.3862943611198906,0.5,0.5,0.00018982376737383333,0.5,4.666666666666667,0.34400000000000003,mid,high,buy,1.0,1.0,1,0.999999083084837,1.0,0.4,0.9519998349552706,high,800
INTARIAN_PEPPER_ROOT,942700,3,"-1,0,1",3,3.0,0.0,1,1.8333333333333333,0.8498365855987975,1,3.0,0.9999989809060749,8.980314322238769e-07,1.0,1.0,1.0,1.0,1.3862943611198906,0.5,0.5,0.00027882491770793335,0.6222222222222222,4.333333333333333,0.9427,late,high,buy,1.0,1.0,1,0.9999989809060749,1.0,0.4,0.9519998165630935,high,800
INTARIAN_PEPPER_ROOT,977200,3,"-1,0,1",3,5.0,0.0,1,1.3333333333333333,0.2357022603955158,1,3.0,0.9999988637692843,1.934542217058002e-06,1.0,1.0,1.0,1.0,1.7917594692280552,0.5,0.5,0.00020435185106410002,0.411764705882353,4.666666666666667,0.9772,late,high,buy,1.0,1.0,1,0.9999988637692843,1.0,0.4,0.9519997954784712,high,800
