experiment_type,lane,symbol,timestamp,window_left,window_right,dominant_archetype,priority,score_primary,score_secondary,days_present,event_count,drift_score_mean_z,drift_score_max_z,notes,job_id
timestamp_window_search,p3_seeded,INTARIAN_PEPPER_ROOT,35700,34900,36500,1,high,0.9999641968554878,0.9998010936415992,3,6,0.3700421676904084,0.9538311326327537,time_bucket=early; side_regime=mixed; confidence_bucket=high,32
timestamp_window_search,p3_seeded,ASH_COATED_OSMIUM,15100,14300,15900,1,high,0.9921499531475424,0.9563886285974584,3,6,0.3132709113073568,0.9370858193261928,time_bucket=early; side_regime=buy; confidence_bucket=high,0
timestamp_window_search,p3_seeded,INTARIAN_PEPPER_ROOT,775500,774700,776300,1,high,0.9519999763027914,0.999999868348841,3,3,0.3700421676904084,0.9538311326327537,time_bucket=late; side_regime=sell; confidence_bucket=high,33
timestamp_window_search,p3_seeded,ASH_COATED_OSMIUM,923800,923000,924600,1,high,0.9519999058130312,0.999999476739062,3,3,0.3132709113073568,0.9370858193261928,time_bucket=late; side_regime=sell; confidence_bucket=high,1
timestamp_window_search,p3_seeded,INTARIAN_PEPPER_ROOT,561300,560500,562100,1,high,0.951999878854995,0.9999993269721944,3,3,0.3700421676904084,0.9538311326327537,time_bucket=mid; side_regime=buy; confidence_bucket=high,34
timestamp_window_search,p3_seeded,INTARIAN_PEPPER_ROOT,376700,375900,377500,1,high,0.9519998753636796,0.9999993075759978,3,3,0.3700421676904084,0.9538311326327537,time_bucket=mid; side_regime=buy; confidence_bucket=high,35
timestamp_window_search,p3_seeded,INTARIAN_PEPPER_ROOT,466000,465200,466800,1,high,0.9519998602336506,0.9999992235202808,3,3,0.3700421676904084,0.9538311326327537,time_bucket=mid; side_regime=buy; confidence_bucket=high,36
timestamp_window_search,p3_seeded,INTARIAN_PEPPER_ROOT,344000,343200,344800,1,high,0.9519998349552706,0.999999083084837,3,3,0.3700421676904084,0.9538311326327537,time_bucket=mid; side_regime=buy; confidence_bucket=high,37
timestamp_window_search,p3_seeded,INTARIAN_PEPPER_ROOT,942700,941900,943500,1,high,0.9519998165630936,0.9999989809060748,3,3,0.3700421676904084,0.9538311326327537,time_bucket=late; side_regime=buy; confidence_bucket=high,38
timestamp_window_search,p3_seeded,INTARIAN_PEPPER_ROOT,977200,976400,978000,1,high,0.9519997954784712,0.9999988637692844,3,3,0.3700421676904084,0.9538311326327537,time_bucket=late; side_regime=buy; confidence_bucket=high,39
timestamp_window_search,p3_seeded,INTARIAN_PEPPER_ROOT,927200,926400,928000,1,high,0.951999768575552,0.9999987143086214,3,3,0.3700421676904084,0.9538311326327537,time_bucket=late; side_regime=sell; confidence_bucket=high,40
timestamp_window_search,p3_seeded,INTARIAN_PEPPER_ROOT,566100,565300,566900,1,high,0.951999759807593,0.9999986655977388,3,3,0.3700421676904084,0.9538311326327537,time_bucket=mid; side_regime=buy; confidence_bucket=high,41
timestamp_window_search,p3_seeded,INTARIAN_PEPPER_ROOT,64300,63500,65100,1,high,0.951999716077732,0.9999984226540674,3,3,0.3700421676904084,0.9538311326327537,time_bucket=early; side_regime=buy; confidence_bucket=high,42
timestamp_window_search,p3_seeded,INTARIAN_PEPPER_ROOT,372300,371500,373100,1,high,0.9519996908587436,0.9999982825485764,3,3,0.3700421676904084,0.9538311326327537,time_bucket=mid; side_regime=buy; confidence_bucket=high,43
timestamp_window_search,p3_seeded,INTARIAN_PEPPER_ROOT,564900,564100,565700,1,high,0.9519996642707484,0.9999981348374908,3,3,0.3700421676904084,0.9538311326327537,time_bucket=mid; side_regime=buy; confidence_bucket=high,44
timestamp_window_search,p3_seeded,ASH_COATED_OSMIUM,802000,801200,802800,1,high,0.9519996379724606,0.999997988735892,3,3,0.3132709113073568,0.9370858193261928,time_bucket=late; side_regime=buy; confidence_bucket=high,2
timestamp_window_search,p3_seeded,INTARIAN_PEPPER_ROOT,194900,194100,195700,1,high,0.9519995975393292,0.9999977641073848,3,3,0.3700421676904084,0.9538311326327537,time_bucket=early; side_regime=buy; confidence_bucket=high,45
timestamp_window_search,p3_seeded,INTARIAN_PEPPER_ROOT,71500,70700,72300,1,high,0.9519995789829292,0.9999976610162742,3,3,0.3700421676904084,0.9538311326327537,time_bucket=early; side_regime=buy; confidence_bucket=high,46
timestamp_window_search,p3_seeded,INTARIAN_PEPPER_ROOT,556700,555900,557500,1,high,0.9519995484203816,0.9999974912243416,3,3,0.3700421676904084,0.9538311326327537,time_bucket=mid; side_regime=buy; confidence_bucket=high,47
timestamp_window_search,p3_seeded,INTARIAN_PEPPER_ROOT,361600,360800,362400,1,high,0.9519995091441136,0.9999972730228536,3,3,0.3700421676904084,0.9538311326327537,time_bucket=mid; side_regime=buy; confidence_bucket=high,48
timestamp_window_search,p3_seeded,INTARIAN_PEPPER_ROOT,365400,364600,366200,1,high,0.951999503788469,0.999997243269272,3,3,0.3700421676904084,0.9538311326327537,time_bucket=mid; side_regime=buy; confidence_bucket=high,49
timestamp_window_search,p3_seeded,INTARIAN_PEPPER_ROOT,164200,163400,165000,1,high,0.9519994544569048,0.9999969692050268,3,3,0.3700421676904084,0.9538311326327537,time_bucket=early; side_regime=buy; confidence_bucket=high,50
timestamp_window_search,p3_seeded,INTARIAN_PEPPER_ROOT,936600,935800,937400,1,high,0.9519994266160776,0.9999968145337652,3,3,0.3700421676904084,0.9538311326327537,time_bucket=late; side_regime=buy; confidence_bucket=high,51
timestamp_window_search,p3_seeded,ASH_COATED_OSMIUM,85700,84900,86500,1,high,0.9519982206685638,0.9999901148253542,3,3,0.3132709113073568,0.9370858193261928,time_bucket=early; side_regime=buy; confidence_bucket=high,3
timestamp_window_search,p3_seeded,ASH_COATED_OSMIUM,32800,32000,33600,1,high,0.9519980319302548,0.9999890662791924,3,3,0.3132709113073568,0.9370858193261928,time_bucket=early; side_regime=sell; confidence_bucket=high,4
timestamp_window_search,p3_seeded,ASH_COATED_OSMIUM,552900,552100,553700,1,high,0.9519970328141446,0.9999835156341368,3,3,0.3132709113073568,0.9370858193261928,time_bucket=mid; side_regime=sell; confidence_bucket=high,5
timestamp_window_search,p3_seeded,ASH_COATED_OSMIUM,444200,443400,445000,1,high,0.9519970129056272,0.9999834050312618,3,3,0.3132709113073568,0.9370858193261928,time_bucket=mid; side_regime=buy; confidence_bucket=high,6
timestamp_window_search,p3_seeded,ASH_COATED_OSMIUM,185900,185100,186700,1,high,0.9519969650691636,0.9999831392731312,3,3,0.3132709113073568,0.9370858193261928,time_bucket=early; side_regime=sell; confidence_bucket=high,7
timestamp_window_search,p3_seeded,ASH_COATED_OSMIUM,90200,89400,91000,1,high,0.9519969471118612,0.9999830395103396,3,3,0.3132709113073568,0.9370858193261928,time_bucket=early; side_regime=buy; confidence_bucket=high,8
timestamp_window_search,p3_seeded,ASH_COATED_OSMIUM,401700,400900,402500,1,high,0.9519969246923788,0.9999829149576596,3,3,0.3132709113073568,0.9370858193261928,time_bucket=mid; side_regime=buy; confidence_bucket=high,9
timestamp_window_search,p3_seeded,ASH_COATED_OSMIUM,336400,335600,337200,1,high,0.9519969123066896,0.9999828461482746,3,3,0.3132709113073568,0.9370858193261928,time_bucket=mid; side_regime=buy; confidence_bucket=high,10
timestamp_window_search,p3_seeded,ASH_COATED_OSMIUM,301600,300800,302400,1,high,0.9519969071423524,0.9999828174575134,3,3,0.3132709113073568,0.9370858193261928,time_bucket=early; side_regime=sell; confidence_bucket=high,11
timestamp_window_search,p3_seeded,ASH_COATED_OSMIUM,258300,257500,259100,1,high,0.95199689739947,0.9999827633303884,3,3,0.3132709113073568,0.9370858193261928,time_bucket=early; side_regime=buy; confidence_bucket=high,12
timestamp_window_search,p3_seeded,ASH_COATED_OSMIUM,407400,406600,408200,1,high,0.9519968343894428,0.9999824132746826,3,3,0.3132709113073568,0.9370858193261928,time_bucket=mid; side_regime=buy; confidence_bucket=high,13
timestamp_window_search,p3_seeded,ASH_COATED_OSMIUM,566600,565800,567400,1,high,0.9519967609296116,0.9999820051645096,3,3,0.3132709113073568,0.9370858193261928,time_bucket=mid; side_regime=buy; confidence_bucket=high,14
timestamp_window_search,p3_seeded,ASH_COATED_OSMIUM,383000,382200,383800,1,high,0.9519966002665268,0.9999811125918148,3,3,0.3132709113073568,0.9370858193261928,time_bucket=mid; side_regime=buy; confidence_bucket=high,15
timestamp_window_search,p3_seeded,ASH_COATED_OSMIUM,917900,917100,918700,1,high,0.9519965663460344,0.999980924144636,3,3,0.3132709113073568,0.9370858193261928,time_bucket=late; side_regime=buy; confidence_bucket=high,16
timestamp_window_search,p3_seeded,ASH_COATED_OSMIUM,62000,61200,62800,1,high,0.9519965324226825,0.9999807356815688,3,3,0.3132709113073568,0.9370858193261928,time_bucket=early; side_regime=buy; confidence_bucket=high,17
timestamp_window_search,p3_seeded,ASH_COATED_OSMIUM,9600,8800,10400,1,high,0.9519965212280062,0.999980673488923,3,3,0.3132709113073568,0.9370858193261928,time_bucket=early; side_regime=sell; confidence_bucket=high,18
timestamp_window_search,p3_seeded,ASH_COATED_OSMIUM,24600,23800,25400,1,high,0.9519959395136685,0.9999774417426028,3,3,0.3132709113073568,0.9370858193261928,time_bucket=early; side_regime=sell; confidence_bucket=high,19
