experiment_type,lane,symbol,timestamp,window_left,window_right,dominant_archetype,priority,score_primary,score_secondary,days_present,event_count,drift_score_mean_z,drift_score_max_z,notes,job_id,parent_job_id,search_profile,feature_profile,threshold_profile,max_depth
timestamp_window_search,p3_seeded,INTARIAN_PEPPER_ROOT,35700,34900,36500,1,high,0.9999641968554878,0.9998010936415992,3,6,0.3700421676904084,0.9538311326327537,time_bucket=early; side_regime=mixed; confidence_bucket=high,0,32,ts_core_d3,core,sparse,3
timestamp_window_search,p3_seeded,INTARIAN_PEPPER_ROOT,35700,34500,36900,1,high,0.9999641968554878,0.9998010936415992,3,6,0.3700421676904084,0.9538311326327537,time_bucket=early; side_regime=mixed; confidence_bucket=high,5,32,ts_dense_d4,structure,dense,4
timestamp_window_search,p3_seeded,INTARIAN_PEPPER_ROOT,35700,34900,36500,1,high,0.9999641968554878,0.9998010936415992,3,6,0.3700421676904084,0.9538311326327537,time_bucket=early; side_regime=mixed; confidence_bucket=high,1,32,ts_full_d4,full,medium,4
timestamp_window_search,p3_seeded,INTARIAN_PEPPER_ROOT,35700,34100,35700,1,high,0.9999641968554878,0.9998010936415992,3,6,0.3700421676904084,0.9538311326327537,time_bucket=early; side_regime=mixed; confidence_bucket=high,3,32,ts_left_d3,flow,sparse,3
timestamp_window_search,p3_seeded,INTARIAN_PEPPER_ROOT,35700,35700,37300,1,high,0.9999641968554878,0.9998010936415992,3,6,0.3700421676904084,0.9538311326327537,time_bucket=early; side_regime=mixed; confidence_bucket=high,4,32,ts_right_d3,flow,sparse,3
timestamp_window_search,p3_seeded,INTARIAN_PEPPER_ROOT,35700,34100,37300,1,high,0.9999641968554878,0.9998010936415992,3,6,0.3700421676904084,0.9538311326327537,time_bucket=early; side_regime=mixed; confidence_bucket=high,2,32,ts_wide_d4,full,medium,4
timestamp_window_search,p3_seeded,ASH_COATED_OSMIUM,15100,14300,15900,1,high,0.9921499531475424,0.9563886285974584,3,6,0.3132709113073568,0.9370858193261928,time_bucket=early; side_regime=buy; confidence_bucket=high,6,0,ts_core_d3,core,sparse,3
timestamp_window_search,p3_seeded,ASH_COATED_OSMIUM,15100,13900,16300,1,high,0.9921499531475424,0.9563886285974584,3,6,0.3132709113073568,0.9370858193261928,time_bucket=early; side_regime=buy; confidence_bucket=high,11,0,ts_dense_d4,structure,dense,4
timestamp_window_search,p3_seeded,ASH_COATED_OSMIUM,15100,14300,15900,1,high,0.9921499531475424,0.9563886285974584,3,6,0.3132709113073568,0.9370858193261928,time_bucket=early; side_regime=buy; confidence_bucket=high,7,0,ts_full_d4,full,medium,4
timestamp_window_search,p3_seeded,ASH_COATED_OSMIUM,15100,13500,15100,1,high,0.9921499531475424,0.9563886285974584,3,6,0.3132709113073568,0.9370858193261928,time_bucket=early; side_regime=buy; confidence_bucket=high,9,0,ts_left_d3,flow,sparse,3
